SourceA	SourceB	Pre	Post
LitCoinSapBERT_without_umls	LitCoin	210	228
old_Ubergraph	HumanGOA	18710	
GenomeAllianceOrthologs	LitCoinSapBERT_without_umls	0	112
UbergraphNonredundant	Hetio	14585	37410
YeastGaschDiamideGeneExpression	GTEx	0	0
STRING-DB-Yeast	PFOCR	0	0
MolePro	old_Ubergraph	218884	
YeastGSE61888	Costanza2016Data	0	0
PANTHER	COHD	0	0
Cord19	LitCoin	185	767
MetabolomicsWorkbench	IntAct	0	0
Cord19	CHEBIProps	56	3
Biolink	MONDOProps	1737	10786
UbergraphNonredundant	HGNC	3717	14378
GWASCatalog	CHEBIProps	0	0
LitCoinSapBERT_without_umls	SIGNOR	25	44
LINCS	DrugCentral	0	1242
BINDING-DB	LitCoin_without_umls_with_autocomplete	97	16
MolePro	CCIDB	335	332
Biolink	UbergraphRedundant	31059	21807
STRING-DB-Human	LitCoin	0	3
STRING-DB-Human	CHEBIProps	0	0
LitCoin_without_umls_with_autocomplete	GenomeAllianceOrthologs	0	58
PFOCR	LitCoin_without_umls_with_autocomplete	34	180
YeastGSE61888	LINCS	0	0
Biolink	MetabolomicsWorkbench	882	1060
HGNC	SGD	0	0
Reactome	KinAce	1322	327
old_Ubergraph	GtoPdb	55	
old_Ubergraph	IntAct	1675	
CTD	CAM-KP	4971	19710
DrugMechDB	LitCoin	115	419
GenomeAllianceOrthologs	LitCoin	0	404
LitCoinBagelService	OHD-Carolina	256	256
STRING-DB-Yeast	PANTHER	0	0
HMDB	GWASCatalog	0	30
CTD	DrugMechDB	1925	2435
UbergraphNonredundant	CHEBIProps	25238	23971
OntologicalHierarchy	STRING-DB	0	17534
PFOCR	LitCoinSapBERT_without_umls	54	157
MolePro	GTEx	1477	18829
LitCoinSapBERT_without_umls	STRING-DB-Human	0	0
PANTHER	DrugCentral	0	0
textminingkp	GTEx	0	0
COHD	Costanza2016Data	0	0
UbergraphRedundant	HumanGOA	18968	38109
PANTHER	Hetio	2786	21207
UbergraphRedundant	KinAce	0	1165
MONDOProps	OHD-Carolina	3260	3266
CAM-KP	CHEBIProps	4547	5179
CTD	old_Ubergraph	0	
LitCoinSapBERT	Hetio	281	583
STRING-DB-Yeast	STRING-DB-Human	0	0
HMDB	YeastHistoneMapping	0	0
HMDB	MonarchKG	0	375
PFOCR	LitCoin	347	570
UbergraphNonredundant	HMDB	0	8156
UbergraphNonredundant	STRING-DB	0	9894
LitCoinSapBERT	DrugCentral	70	372
YeastHistoneMapping	CAM-KP	6034	6034
CAM-KP	STRING-DB	0	3209
Biolink	COHD	1	2
MonarchKG	IntAct	0	0
YeastGaschDiamideGeneExpression	STRING-DB-Human	0	0
textminingkp	CHEBIProps	2605	4180
MolePro	MONDOProps	8913	7014
HGNC	MetabolomicsWorkbench	717	717
LitCoinSapBERT	textminingkp	328	383
COHD	SGD	0	0
BINDING-DB	STRING-DB	0	1157
Costanza2016Data	STRING-DB-Human	0	0
CCIDB	LINCS	0	198
textminingkp	HumanGOA	14414	14414
Hetio	IntAct	0	0
YeastGSE61888	DrugMechDB	0	0
YeastGSE61888	LitCoin	0	0
Costanza2016Data	Cord19	0	0
YeastHistoneMapping	textminingkp	0	0
LINCS	CHEBIProps	0	1564
COHD	KinAce	0	0
LINCS	LitCoin	13	259
STRING-DB-Yeast	CCIDB	0	0
MONDOProps	LINCS	0	0
LitCoin_without_umls_with_autocomplete	YeastGSE61888	0	0
UbergraphNonredundant	CCIDB	36	372
OntologicalHierarchy	Costanza2016Data	1	0
PFOCR	DrugMechDB	1083	963
Reactome	LitCoin_without_umls	25	32
LitCoinBagelService	LitCoin	1799	1840
LitCoin_without_umls	GTEx	0	28
DrugCentral	GWASCatalog	0	902
HMDB	GenomeAllianceOrthologs	0	9
HGNC	GtoPdb	250	1891
STRING-DB-Yeast	old_Ubergraph	0	
Biolink	Reactome	101	1108
MonarchKG	PHAROS	13545	17426
OntologicalHierarchy	SGD	5164	4864
GWASCatalog	STRING-DB	0	0
LitCoin_without_umls	IntAct	10	3
OntologicalHierarchy	STRING-DB-Yeast	0	0
MONDOProps	textminingkp	6004	6117
CCIDB	KinAce	120	120
UbergraphRedundant	Ubergraph	3414713	2794361
STRING-DB-Yeast	GWASCatalog	0	0
YeastGSE61888	LitCoinSapBERT_without_umls	0	0
PFOCR	PHAROS	511	10484
textminingkp	STRING-DB-Human	0	5522
HGNC	CAM-KP	0	19975
UbergraphNonredundant	Cord19	17796	31259
LitCoinSapBERT	KinAce	24	66
CTD	BINDING-DB	0	4028
LitCoinSapBERT	LitCoin_without_umls	125	143
MonarchKG	STRING-DB	0	0
YeastHistoneMapping	MonarchKG	5263	5263
LitCoin_without_umls_with_autocomplete	KinAce	3	12
LitCoin_without_umls	HumanGOA	39	34
OHD-Carolina	STRING-DB	0	0
SIGNOR	STRING-DB-Human	0	40
CTD	LINCS	0	5116
MonarchKG	HumanGOA	1478	1439
YeastGaschDiamideGeneExpression	YeastGSE61888	1	1
MONDOProps	UbergraphRedundant	26261	26140
STRING-DB-Yeast	BINDING-DB	0	0
MolePro	GenomeAllianceOrthologs	259	24626
YeastHistoneMapping	Hetio	16	16
UbergraphNonredundant	old_Ubergraph	3332404	
Costanza2016Data	GTEx	0	0
UbergraphRedundant	LitCoin	1065	1387
LitCoin_without_umls	PHAROS	4	141
LitCoinBagelService	STRING-DB-Human	0	0
LitCoin_without_umls_with_autocomplete	DrugMechDB	45	105
LitCoin_without_umls	LitCoinBagelService	117	119
UbergraphNonredundant	GtoPdb	1901	4372
LitCoinBagelService	MetabolomicsWorkbench	0	50
YeastGSE61888	GtoPdb	0	0
YeastHistoneMapping	SGD	7263	7181
Biolink	PFOCR	17608	17908
STRING-DB-Yeast	LitCoinSapBERT_without_umls	0	0
OntologicalHierarchy	Cord19	19073	18862
DrugCentral	Costanza2016Data	0	0
YeastGaschDiamideGeneExpression	GtoPdb	0	0
MonarchKG	LitCoinSapBERT_without_umls	123	277
LitCoinSapBERT_without_umls	STRING-DB	0	0
Hetio	CHEBIProps	0	1138
HumanGOA	Cord19	5872	5812
Biolink	SGD	5433	2176
old_Ubergraph	LINCS	1100	
LitCoinSapBERT	STRING-DB-Human	0	1
OntologicalHierarchy	LitCoin_without_umls_with_autocomplete	859	853
HGNC	Cord19	10676	10656
PANTHER	old_Ubergraph	6548	
LitCoinBagelService	GenomeAllianceOrthologs	0	294
CCIDB	IntAct	325	2
UbergraphNonredundant	CAM-KP	30007	67651
HumanGOA	STRING-DB-Human	0	7803
OHD-Carolina	LINCS	1	595
UbergraphNonredundant	CTD	0	19144
DrugMechDB	CHEBIProps	75	1135
UbergraphRedundant	LitCoinSapBERT_without_umls	682	715
CTD	KinAce	0	2195
YeastHistoneMapping	HumanGOA	41	41
Biolink	DrugCentral	38	2286
HumanGOA	CHEBIProps	0	0
CCIDB	GTEx	0	322
PANTHER	textminingkp	0	0
textminingkp	old_Ubergraph	12116	
DrugCentral	SGD	0	0
SIGNOR	LitCoin	25	282
DrugCentral	SIGNOR	1231	55
STRING-DB	LitCoin	0	5
DrugCentral	STRING-DB	0	706
YeastHistoneMapping	CHEBIProps	0	0
LitCoinSapBERT	UbergraphNonredundant	1001	1526
UbergraphNonredundant	MetabolomicsWorkbench	512	1794
LitCoin_without_umls	DrugMechDB	41	81
IntAct	STRING-DB-Human	0	7252
HGNC	MonarchKG	20965	20843
LitCoinSapBERT	CCIDB	23	33
IntAct	GWASCatalog	0	0
HGNC	OHD-Carolina	0	1
MONDOProps	DrugCentral	0	2250
PHAROS	LitCoin	45	881
LitCoin_without_umls	UbergraphRedundant	481	492
PHAROS	CHEBIProps	0	2467
MolePro	LINCS	600	8149
CAM-KP	old_Ubergraph	55323	
CAM-KP	LitCoin	663	773
YeastGaschDiamideGeneExpression	HMDB	0	0
LitCoinSapBERT_without_umls	DrugMechDB	53	103
LINCS	GWASCatalog	0	0
YeastGaschDiamideGeneExpression	UbergraphRedundant	0	1
UbergraphNonredundant	IntAct	1685	5339
MONDOProps	CCIDB	0	0
SIGNOR	GTEx	0	5987
LitCoinBagelService	GtoPdb	0	204
PHAROS	Hetio	1582	12835
MONDOProps	CHEBIProps	0	0
HMDB	LitCoin_without_umls	4	7
Reactome	LitCoinBagelService	35	149
CTD	Costanza2016Data	0	0
YeastGaschDiamideGeneExpression	Reactome	0	0
LitCoin_without_umls	Costanza2016Data	0	0
BINDING-DB	SGD	0	0
CCIDB	PHAROS	0	310
GenomeAllianceOrthologs	MetabolomicsWorkbench	1060	1059
HGNC	YeastHistoneMapping	0	0
DrugMechDB	Hetio	764	2685
MolePro	CTD	3901	20270
PFOCR	GWASCatalog	0	417
MolePro	CAM-KP	81109	45863
HMDB	LitCoinSapBERT_without_umls	14	5
MONDOProps	COHD	1	2
COHD	GtoPdb	0	14
YeastGaschDiamideGeneExpression	DrugMechDB	0	0
Biolink	Ubergraph	48026	75894
MolePro	KinAce	3125	3123
MONDOProps	Cord19	110	3748
DrugCentral	DrugMechDB	516	2200
MolePro	STRING-DB-Yeast	0	0
textminingkp	MonarchKG	3848	4359
LitCoinSapBERT	PANTHER	44	205
LitCoin_without_umls_with_autocomplete	SGD	4	4
LitCoinSapBERT	GTEx	0	160
old_Ubergraph	STRING-DB-Human	0	
CAM-KP	GWASCatalog	30	32
YeastGaschDiamideGeneExpression	MolePro	0	73
YeastGSE61888	STRING-DB-Human	0	0
IntAct	HumanGOA	17868	17867
PANTHER	GTEx	0	17851
YeastGaschDiamideGeneExpression	SIGNOR	0	0
PHAROS	GWASCatalog	0	863
IntAct	LitCoin	37	8
BINDING-DB	Costanza2016Data	0	0
IntAct	CHEBIProps	0	0
MetabolomicsWorkbench	Cord19	916	918
Ubergraph	Costanza2016Data	1	5174
STRING-DB	GtoPdb	0	0
SIGNOR	GtoPdb	0	1576
SIGNOR	GWASCatalog	1	1
IntAct	GTEx	0	0
textminingkp	Hetio	1468	3273
LitCoin_without_umls_with_autocomplete	Costanza2016Data	0	0
HMDB	LitCoin	14	165
LitCoin_without_umls_with_autocomplete	PHAROS	2	199
GenomeAllianceOrthologs	GWASCatalog	0	0
DrugMechDB	GWASCatalog	44	351
UbergraphRedundant	MonarchKG	61252	29202
UbergraphRedundant	OHD-Carolina	5287	5954
Biolink	GtoPdb	189	2152
Ubergraph	MetabolomicsWorkbench	429	1042
HGNC	LitCoin_without_umls	1	25
Ubergraph	PHAROS	3339	18961
YeastGaschDiamideGeneExpression	PFOCR	0	0
CTD	PFOCR	4915	9724
OHD-Carolina	MetabolomicsWorkbench	1	59
CTD	MONDOProps	0	2382
LitCoin_without_umls	PANTHER	18	46
SIGNOR	IntAct	6124	93
Reactome	PFOCR	1	926
textminingkp	DrugMechDB	794	2164
Ubergraph	OHD-Carolina	5273	4624
LitCoinSapBERT	CAM-KP	315	575
LitCoinSapBERT_without_umls	IntAct	44	1
BINDING-DB	Reactome	1735	2026
PFOCR	KinAce	0	2956
CHEBIProps	LitCoin	173	191
YeastHistoneMapping	STRING-DB	0	0
CCIDB	Costanza2016Data	0	0
UbergraphNonredundant	LINCS	1415	8098
old_Ubergraph	CHEBIProps	24354	
UbergraphNonredundant	STRING-DB-Yeast	0	0
YeastHistoneMapping	OHD-Carolina	0	0
YeastGSE61888	DrugCentral	0	0
OntologicalHierarchy	CHEBIProps	25238	24629
LitCoinSapBERT	SIGNOR	45	123
YeastHistoneMapping	GenomeAllianceOrthologs	3546	3480
MetabolomicsWorkbench	STRING-DB	0	0
MonarchKG	DrugMechDB	343	1320
UbergraphRedundant	GWASCatalog	644	1501
UbergraphNonredundant	DrugCentral	0	6528
BINDING-DB	textminingkp	3019	6948
SIGNOR	MetabolomicsWorkbench	4	370
YeastHistoneMapping	old_Ubergraph	42	
HGNC	BINDING-DB	0	0
UbergraphNonredundant	GenomeAllianceOrthologs	4507	51055
CAM-KP	LitCoinBagelService	471	532
LitCoinSapBERT_without_umls	GWASCatalog	33	78
STRING-DB-Yeast	YeastGSE61888	0	0
HumanGOA	GtoPdb	0	0
PHAROS	IntAct	0	0
COHD	LitCoin	7	4
MolePro	OHD-Carolina	4612	4052
old_Ubergraph	COHD	55	
CCIDB	COHD	0	0
GenomeAllianceOrthologs	Cord19	12761	12719
Ubergraph	GWASCatalog	643	1397
OntologicalHierarchy	COHD	55	36
LINCS	SGD	0	0
LitCoin_without_umls_with_autocomplete	UbergraphRedundant	859	867
HMDB	DrugMechDB	440	856
YeastGaschDiamideGeneExpression	LitCoinSapBERT_without_umls	0	0
Biolink	HMDB	380	381
GenomeAllianceOrthologs	GTEx	0	18081
YeastGSE61888	GTEx	0	0
PANTHER	STRING-DB-Human	0	0
BINDING-DB	LINCS	2577	2515
PHAROS	LitCoinSapBERT_without_umls	0	165
Cord19	STRING-DB	0	0
PFOCR	LINCS	0	4102
PFOCR	LitCoinBagelService	245	390
BINDING-DB	LitCoinBagelService	0	123
STRING-DB-Yeast	LitCoin	0	0
Ubergraph	HumanGOA	18797	19650
YeastGaschDiamideGeneExpression	LitCoin_without_umls_with_autocomplete	0	0
LitCoinBagelService	MonarchKG	215	570
UbergraphNonredundant	COHD	55	33
MetabolomicsWorkbench	HumanGOA	0	0
HGNC	DrugCentral	0	0
YeastHistoneMapping	Ubergraph	43	5738
DrugCentral	LitCoin	49	500
LitCoinBagelService	GWASCatalog	68	147
Biolink	DrugMechDB	2061	1441
YeastGaschDiamideGeneExpression	PANTHER	0	0
OntologicalHierarchy	Reactome	3514	12329
Biolink	MolePro	38654	34159
Ubergraph	KinAce	0	3112
CAM-KP	Ubergraph	55343	59418
HGNC	CCIDB	2	300
HMDB	PHAROS	345	1552
OntologicalHierarchy	CTD	0	9790
LitCoinSapBERT	MonarchKG	235	630
STRING-DB-Yeast	IntAct	0	0
textminingkp	IntAct	13984	13984
BINDING-DB	OHD-Carolina	5	750
textminingkp	LitCoinSapBERT_without_umls	145	121
YeastGSE61888	GWASCatalog	0	0
STRING-DB-Yeast	LitCoin_without_umls_with_autocomplete	0	0
PFOCR	PANTHER	0	13890
HMDB	HumanGOA	5705	5705
LitCoinSapBERT	HMDB	29	91
MONDOProps	YeastHistoneMapping	0	0
OntologicalHierarchy	UbergraphRedundant	3797119	3205740
LitCoinSapBERT	STRING-DB-Yeast	0	0
CCIDB	LitCoin_without_umls_with_autocomplete	6	9
OntologicalHierarchy	MetabolomicsWorkbench	512	753
LitCoinBagelService	Hetio	325	591
YeastGSE61888	IntAct	0	0
MolePro	HMDB	19271	44827
MolePro	SIGNOR	6427	6374
YeastGSE61888	PANTHER	0	0
LitCoinBagelService	DrugCentral	17	329
YeastGaschDiamideGeneExpression	textminingkp	0	0
CTD	GtoPdb	0	3305
HMDB	IntAct	5727	5726
LitCoinBagelService	HumanGOA	46	46
Hetio	STRING-DB-Human	0	0
SGD	Cord19	2075	2051
textminingkp	PHAROS	0	6670
PFOCR	STRING-DB-Human	0	0
Reactome	COHD	2	2
MONDOProps	LitCoin_without_umls_with_autocomplete	206	206
BINDING-DB	CHEBIProps	0	4339
CTD	GTEx	0	9015
Reactome	SIGNOR	2318	644
LitCoinSapBERT	YeastGSE61888	0	0
YeastGSE61888	MetabolomicsWorkbench	0	0
KinAce	GTEx	0	3060
Hetio	Cord19	6035	19833
STRING-DB-Yeast	SIGNOR	0	0
old_Ubergraph	DrugMechDB	1509	
YeastGaschDiamideGeneExpression	LINCS	0	0
YeastHistoneMapping	PFOCR	0	0
OHD-Carolina	Costanza2016Data	0	0
HGNC	LitCoin	12	328
KinAce	IntAct	3112	38
OntologicalHierarchy	Hetio	16056	19082
old_Ubergraph	DrugCentral	0	
Reactome	SGD	384	450
OHD-Carolina	SGD	0	0
PFOCR	MetabolomicsWorkbench	0	1028
OntologicalHierarchy	DrugCentral	0	9345
old_Ubergraph	Hetio	34233	
LitCoin_without_umls	CHEBIProps	5	6
Reactome	Hetio	962	2074
MONDOProps	Reactome	0	293
GWASCatalog	STRING-DB-Human	0	0
Reactome	DrugCentral	874	1196
YeastGaschDiamideGeneExpression	DrugCentral	0	0
OntologicalHierarchy	CCIDB	36	46
COHD	Cord19	3	2
MolePro	SGD	2796	2769
STRING-DB-Yeast	LINCS	0	0
GenomeAllianceOrthologs	Ubergraph	3365	51034
GWASCatalog	Cord19	283	1019
LINCS	GTEx	0	4383
MONDOProps	BINDING-DB	0	0
YeastGaschDiamideGeneExpression	KinAce	0	0
PANTHER	HumanGOA	2843	2840
MolePro	DrugCentral	3635	7233
MolePro	LitCoin	1203	1173
LitCoinSapBERT	IntAct	82	3
Biolink	Costanza2016Data	4715	1912
old_Ubergraph	Cord19	17255	
YeastHistoneMapping	Costanza2016Data	5293	5293
Costanza2016Data	STRING-DB	0	0
Hetio	GTEx	0	17947
OHD-Carolina	GWASCatalog	316	953
PFOCR	GTEx	0	14050
MetabolomicsWorkbench	STRING-DB-Human	0	0
COHD	MonarchKG	0	2
LitCoin_without_umls_with_autocomplete	MetabolomicsWorkbench	41	3
YeastHistoneMapping	Cord19	0	0
Costanza2016Data	HumanGOA	0	0
CAM-KP	STRING-DB-Human	0	3300
KinAce	STRING-DB-Human	0	14
GenomeAllianceOrthologs	GtoPdb	264	2089
BINDING-DB	PFOCR	0	252
MolePro	LitCoinSapBERT_without_umls	394	353
LitCoin_without_umls_with_autocomplete	OHD-Carolina	148	151
Costanza2016Data	CHEBIProps	0	0
UbergraphNonredundant	YeastHistoneMapping	45	5747
GenomeAllianceOrthologs	old_Ubergraph	3374	
CAM-KP	Cord19	5559	18301
MolePro	YeastGSE61888	0	0
textminingkp	LitCoin	473	561
SGD	Hetio	2909	2850
PANTHER	SIGNOR	37	6086
GenomeAllianceOrthologs	textminingkp	0	0
PANTHER	STRING-DB	0	0
GTEx	Cord19	0	12336
CTD	SGD	0	0
LitCoin_without_umls_with_autocomplete	textminingkp	172	170
Biolink	CCIDB	2	330
MONDOProps	Hetio	0	1709
BINDING-DB	YeastGSE61888	0	0
Cord19	GtoPdb	247	2041
GWASCatalog	GTEx	0	159840
LitCoin_without_umls	DrugCentral	4	103
Reactome	GenomeAllianceOrthologs	0	790
HGNC	PHAROS	11054	8533
CAM-KP	PANTHER	2571	21423
Reactome	YeastGSE61888	0	0
PANTHER	KinAce	0	3071
Reactome	Ubergraph	2709	3207
CAM-KP	GenomeAllianceOrthologs	23493	51799
UbergraphNonredundant	LitCoinBagelService	664	987
CTD	CHEBIProps	0	3879
CTD	DrugCentral	0	3858
CTD	LitCoin	22	800
UbergraphNonredundant	DrugMechDB	1499	4130
LitCoin_without_umls	MetabolomicsWorkbench	35	1
STRING-DB-Human	GtoPdb	0	0
UbergraphRedundant	SGD	5164	4864
LitCoin_without_umls_with_autocomplete	GTEx	0	34
Biolink	YeastGaschDiamideGeneExpression	5104	2046
HMDB	YeastGSE61888	0	0
Costanza2016Data	KinAce	0	0
Ubergraph	DrugCentral	0	3791
LitCoin_without_umls	textminingkp	110	109
UbergraphRedundant	GTEx	34129	4407
Costanza2016Data	MetabolomicsWorkbench	0	0
LitCoinSapBERT	LitCoin	2915	2976
HGNC	HumanGOA	0	0
MetabolomicsWorkbench	GTEx	0	1044
Ubergraph	STRING-DB-Human	0	9920
Biolink	HGNC	12032	15907
LitCoin_without_umls	GtoPdb	7	33
HMDB	Cord19	7	113
Biolink	HumanGOA	345	287
UbergraphNonredundant	PHAROS	4343	23941
GenomeAllianceOrthologs	DrugMechDB	0	534
Biolink	LitCoinSapBERT	420	685
CCIDB	DrugMechDB	56	54
STRING-DB-Yeast	MonarchKG	0	0
MONDOProps	old_Ubergraph	22090	
UbergraphNonredundant	Reactome	3503	4508
YeastGaschDiamideGeneExpression	PHAROS	0	0
YeastHistoneMapping	LitCoin_without_umls_with_autocomplete	0	0
OntologicalHierarchy	HMDB	0	14208
STRING-DB-Human	Cord19	0	0
LitCoinSapBERT_without_umls	CHEBIProps	6	9
LitCoinSapBERT	LitCoinSapBERT_without_umls	330	336
YeastGaschDiamideGeneExpression	OHD-Carolina	0	0
STRING-DB-Yeast	Hetio	0	0
CAM-KP	IntAct	7392	9825
LitCoinSapBERT_without_umls	HumanGOA	69	41
OntologicalHierarchy	GWASCatalog	644	1499
LitCoin_without_umls_with_autocomplete	LitCoinSapBERT_without_umls	256	275
Reactome	UbergraphRedundant	3514	12657
Ubergraph	COHD	55	3
Biolink	IntAct	0	0
DrugMechDB	Cord19	1503	2068
old_Ubergraph	PHAROS	3348	
old_Ubergraph	GWASCatalog	643	
GWASCatalog	LitCoin	83	214
YeastHistoneMapping	LitCoinSapBERT_without_umls	0	0
LitCoin_without_umls	LitCoin	196	191
UbergraphRedundant	PHAROS	4343	18221
CCIDB	SGD	0	0
YeastHistoneMapping	CCIDB	0	0
CCIDB	STRING-DB	0	1
MonarchKG	Hetio	1264	21173
LitCoin_without_umls	Ubergraph	505	611
GTEx	GtoPdb	1811	2029
COHD	GTEx	0	0
MetabolomicsWorkbench	GWASCatalog	0	0
LitCoinSapBERT	PHAROS	64	578
OntologicalHierarchy	Ubergraph	3414713	2789658
UbergraphNonredundant	GTEx	34129	17705
CCIDB	PANTHER	0	325
LitCoin_without_umls	MonarchKG	123	200
GenomeAllianceOrthologs	CHEBIProps	0	0
CCIDB	Ubergraph	36	369
HumanGOA	STRING-DB	0	7701
HGNC	LitCoinSapBERT_without_umls	0	61
CTD	LitCoinBagelService	7	544
OntologicalHierarchy	YeastHistoneMapping	45	45
textminingkp	MetabolomicsWorkbench	0	341
BINDING-DB	SIGNOR	2259	197
GenomeAllianceOrthologs	HumanGOA	0	0
LitCoinSapBERT	LitCoinBagelService	1075	1156
textminingkp	KinAce	2977	33
LitCoinSapBERT	GenomeAllianceOrthologs	0	314
LitCoinSapBERT	DrugMechDB	85	251
MONDOProps	MetabolomicsWorkbench	0	0
LitCoin_without_umls	LitCoinSapBERT_without_umls	219	236
GenomeAllianceOrthologs	COHD	0	0
LitCoinSapBERT	old_Ubergraph	1130	
UbergraphNonredundant	SGD	5075	10566
HGNC	Costanza2016Data	0	0
MonarchKG	GWASCatalog	324	841
OHD-Carolina	GtoPdb	0	577
UbergraphRedundant	DrugMechDB	1511	3888
UbergraphRedundant	LitCoinBagelService	666	865
LINCS	Hetio	0	5222
OHD-Carolina	COHD	264	131
CCIDB	GtoPdb	0	176
Reactome	GTEx	780	771
CAM-KP	KinAce	1868	3104
GenomeAllianceOrthologs	IntAct	0	0
DrugMechDB	IntAct	615	83
HMDB	SIGNOR	2640	37
COHD	PHAROS	4	21
Costanza2016Data	LitCoin	0	0
BINDING-DB	IntAct	4409	4392
CAM-KP	SIGNOR	3652	6244
LitCoinBagelService	old_Ubergraph	908	
MolePro	PFOCR	16639	17438
DrugMechDB	KinAce	222	222
PANTHER	SGD	1222	1209
CAM-KP	DrugMechDB	1460	2351
MolePro	BINDING-DB	530307	472577
YeastHistoneMapping	UbergraphRedundant	45	45
YeastGaschDiamideGeneExpression	LitCoin	0	0
GWASCatalog	GtoPdb	0	0
MONDOProps	GWASCatalog	316	1131
PFOCR	COHD	0	2
LitCoinSapBERT	BINDING-DB	74	103
textminingkp	STRING-DB	0	5569
LitCoinSapBERT	Reactome	73	117
PHAROS	STRING-DB	0	0
CTD	MetabolomicsWorkbench	0	1083
CTD	GenomeAllianceOrthologs	0	9735
COHD	STRING-DB-Human	0	0
CAM-KP	Hetio	28811	29816
OntologicalHierarchy	KinAce	0	36
PFOCR	LitCoin_without_umls	29	146
CTD	Ubergraph	0	12741
Reactome	OHD-Carolina	43	275
HMDB	OHD-Carolina	0	699
PFOCR	GtoPdb	0	2056
MonarchKG	GTEx	0	21089
CTD	OHD-Carolina	5	2661
Reactome	MonarchKG	77	1103
OntologicalHierarchy	BINDING-DB	0	16922
COHD	Hetio	0	23
textminingkp	Ubergraph	12197	8215
DrugCentral	LitCoinSapBERT_without_umls	16	116
LINCS	DrugMechDB	0	1004
LitCoinSapBERT_without_umls	KinAce	10	21
PFOCR	Hetio	14146	14634
BINDING-DB	Cord19	11	1562
LitCoinSapBERT	Costanza2016Data	0	2
YeastGaschDiamideGeneExpression	CCIDB	0	0
HMDB	LitCoinBagelService	0	131
SGD	IntAct	0	0
Reactome	GWASCatalog	6	102
IntAct	STRING-DB	0	7248
Biolink	STRING-DB	0	0
HGNC	DrugMechDB	21	503
LitCoin_without_umls_with_autocomplete	CHEBIProps	5	6
LitCoin_without_umls_with_autocomplete	LitCoin	239	230
DrugCentral	STRING-DB-Human	0	705
Hetio	GWASCatalog	37	860
MonarchKG	SIGNOR	0	5990
MONDOProps	IntAct	0	0
HMDB	LINCS	0	839
